Ledger,TDS Section,In Use,Ledger_norm
mobile vivo y28 6128 5g,194Q,No,mobile vivo y28 6128 5g
salary expenses staff,192,No,salary expenses staff
round off,,No,round off
air conditioner,194Q,No,air conditioner
purchases exempted,194Q,No,purchases exempted
air conditionar voltas,194Q,No,air conditionar voltas
processig fee,,No,processig fee
other exp,194Q,No,other exp
office exp 18,194Q,No,office exp 18
motor wehicals exp igst 18,194Q,No,motor wehicals exp igst 18
motor cycle spldrs ccr i3s,194Q,No,motor cycle spldrs ccr i3s
motor cycle rj14ys8751,194Q,No,motor cycle rj14ys8751
water and electricity exp,,No,water and electricity exp
signage,194Q,No,signage
tulae kanta exp,,No,tulae kanta exp
pos rental,194I,No,pos rental
diwali giefts staff,,No,diwali giefts staff
cctv cemra,194Q,No,cctv cemra
accomodation charges,194I,No,accomodation charges
commission on sales,194H,No,commission on sales
kurti printing work,194C,No,kurti printing work
professional fees marketing,194J,No,professional fees marketing
mobile hand set 85171211,194Q,No,mobile hand set 85171211
godowon rent,194I,No,godowon rent
convance exp petrol,192,No,convance exp petrol
tallyerp9 silver gst,194J,No,tallyerp9 silver gst
cutter machine 3hp motor stataretc,194Q,No,cutter machine 3hp motor stataretc
unloading exp,,No,unloading exp
purchases gst5,194Q,No,purchases gst5
toll exp,,No,toll exp
tally annual charges,194J,No,tally annual charges
stationary exp,194Q,No,stationary exp
electical items exp,194Q,No,electical items exp
mobile hand set oppo a17k 364,194Q,No,mobile hand set oppo a17k 364
mobile samsung galaxy s24 ultra 12512 gb,194Q,No,mobile samsung galaxy s24 ultra 12512 gb
depreciation ac,,No,depreciation ac
purchases igst 5,194Q,No,purchases igst 5
discont rebet,,No,discont rebet
mobile hand set vivo y16 332gb,194Q,No,mobile hand set vivo y16 332gb
mobile recharges exp,194Q,No,mobile recharges exp
mahindra pickups,194Q,No,mahindra pickups
purchases nill rated 5303 jute fiber,194Q,No,purchases nill rated 5303 jute fiber
freight exp nill rated,,No,freight exp nill rated
factory exp 28,194C,No,factory exp 28
exide intt 150012v 150ah battery,194Q,No,exide intt 150012v 150ah battery
avon epic orange cycle,194Q,No,avon epic orange cycle
mahindra xuv700 rj14ul8751,194Q,No,mahindra xuv700 rj14ul8751
sales promotion expenses,,No,sales promotion expenses
repairs and maintinance exp,,No,repairs and maintinance exp
purchases igst 18,194Q,No,purchases igst 18
mahindra pickup rj14st8751,194Q,No,mahindra pickup rj14st8751
insurance premium for stock godown,,No,insurance premium for stock godown
insurance cover igst18,,No,insurance cover igst18
interest on bank od,,No,interest on bank od
interest on covid loan 000029,,No,interest on covid loan 000029
freight urd 5 igst,194C,No,freight urd 5 igst
laptop,194Q,No,laptop
penlaty,,No,penlaty
interest on auto loan,,No,interest on auto loan
freight on purchases igst5,194Q,No,freight on purchases igst5
pick up rj14gf5751,194Q,No,pick up rj14gf5751
salary wages,192,No,salary wages
printer leaser jet m1136mfp,194Q,No,printer leaser jet m1136mfp
delivery boost,194C,No,delivery boost
microtek ups 155012v,194Q,No,microtek ups 155012v
cctv,194Q,No,cctv
furniture and fixture,194Q,No,furniture and fixture
bank charges,,No,bank charges
office camera,194Q,No,office camera
stitching material,194Q,No,stitching material
insurance primium new motorcycle,,No,insurance primium new motorcycle
printer hp m126nw,194Q,No,printer hp m126nw
insurance premium for loading pickup,,No,insurance premium for loading pickup
insurance cover gst 18,,No,insurance cover gst 18
convance exp diesel,192,No,convance exp diesel
printing and stationary expesnes,,No,printing and stationary expesnes
salary expenses,192,No,salary expenses
entertainment exp,,No,entertainment exp
local freight,194C,No,local freight
profesional fee,194J,No,profesional fee
banner printing expenses,194C,No,banner printing expenses
photoshoot,194J,No,photoshoot
interest on over draft,,No,interest on over draft
brokerage18,194H,No,brokerage18
cash discount,,No,cash discount
hra,192,No,hra
commission fee 5,194H,No,commission fee 5
onboarding charges,194C,No,onboarding charges
job work,194C,No,job work
sita ram sharma,192,No,sita ram sharma
consultancy service charges,194J,No,consultancy service charges
lift elevator,194Q,No,lift elevator
priniting stationery exp,,No,priniting stationery exp
office furniture,194Q,No,office furniture
packing materials,194Q,No,packing materials
leave encashment,192,No,leave encashment
professional fees it,194J,No,professional fees it
house rent allowance,192,No,house rent allowance
travelling domestic,194C,No,travelling domestic
office equipments,194Q,No,office equipments
purchase 5 rajasthan,194Q,No,purchase 5 rajasthan
interest on late payment of tds,194A,No,interest on late payment of tds
fixed fee 5,194H,No,fixed fee 5
godown exp18,194C,No,godown exp18
govind ram,192,No,govind ram
interest on bank loan,194A,No,interest on bank loan
chemical material exp,194Q,No,chemical material exp
collection fees,194H,No,collection fees
vimlesh,192,No,vimlesh
purchase grey,194Q,No,purchase grey
accumulated ammortization intangible assets,,No,accumulated ammortization intangible assets
encashment,192,No,encashment
repair and maintenance,194C,No,repair and maintenance
discount on platform fee 5,194H,No,discount on platform fee 5
boilar machine,194Q,No,boilar machine
customer addons amount recovery 2,194C,No,customer addons amount recovery 2
courier and cargo charges,194C,No,courier and cargo charges
printed cotton purchase igst 5,194Q,No,printed cotton purchase igst 5
others purchase,,No,others purchase
printing work,194C,No,printing work
building,194Q,No,building
printer set,194Q,No,printer set
rate differencepurchase,194Q,No,rate differencepurchase
packing charges purchase,194Q,No,packing charges purchase
pattern plotter work,194C,No,pattern plotter work
salary expense,192,No,salary expense
purchase 12 rajasthan,194Q,No,purchase 12 rajasthan
jai kumat chordia,,No,jai kumat chordia
professional fees other,194J,No,professional fees other
tds return late filing fee,,No,tds return late filing fee
commission fee,194H,No,commission fee
accumulated depreciation computers,,No,accumulated depreciation computers
purchase,194Q,No,purchase
postage and courier charges,194C,No,postage and courier charges
office construction,194C,No,office construction
training and development,194J,No,training and development
accumulated depreciation office equipments,,No,accumulated depreciation office equipments
printed cloths purchase,194Q,No,printed cloths purchase
sundry balances woff,,No,sundry balances woff
rounding off,,No,rounding off
handle digital locks,194Q,No,handle digital locks
security service charges,194C,No,security service charges
