Vendor,TDS Applicable,TDS Section,Reason
Deepak Electricals,No,,Goods
Flipkart Internet Private Limited- (Expenses),No,,ECO
Manoj Kumar Jain and Associates,No,,Disallow
Mayur Agencies,No,,Goods
BRING IT ONLINE MEDIA PRIVATE LIMITED,Yes,194C,
Bachu Singh,Yes,194C,
G.S. Textiles,Yes,194C,
Logipool Ecommerce Solutions Pvt Ltd,Yes,194C,
Mondal Print,Yes,194C,
Shree Govind Enterprises,Yes,194C,
Sitaram Choudhary (Job Worker),Yes,194C,
Vishnu Sharma,Yes,194C,
